INFO:attn:Params: {'data_url': 'http://ftp.mcs.anl.gov/pub/candle/public/benchmarks/Pilot1/uno/', 'train_data': 'top_21_1fold_001.h5', 'model_name': 'attn', 'dense': [68, 849, 849, 10, 116, 720, 916, 2], 'batch_size': 73, 'epochs': 100, 'activation': ['tanh', 'gelu', 'softmax', 'gelu', 'tanh', 'linear', 'selu', 'softmax'], 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad', 'dropout': 0.2, 'learning_rate': 0.0066965887, 'momentum': 0.6604925547, 'scaling': 'minmax', 'val_split': 0.1, 'epsilon_std': 1.0, 'rng_seed': 2017, 'initialization': 'glorot_uniform', 'latent_dim': 2, 'batch_normalization': False, 'use_cp': False, 'early_stop': True, 'reduce_lr': True, 'feature_subsample': 0, 'save_path': './save/001/', 'timeout': 3600, 'train_bool': True, 'profiling': False, 'experiment_id': 'EXP000', 'run_id': 'RUN000', 'verbose': False, 'logfile': None, 'shuffle': False, 'ckpt_restart_mode': 'auto', 'ckpt_checksum': False, 'ckpt_skip_epochs': 0, 'ckpt_directory': './save', 'ckpt_save_best': True, 'ckpt_save_best_metric': 'val_loss', 'ckpt_save_weights_only': False, 'ckpt_save_interval': 0, 'ckpt_keep_mode': 'linear', 'ckpt_keep_limit': 1000000, 'residual': False, 'warmup_lr': False, 'use_tb': False, 'tsne': False, 'data_type': <class 'numpy.float32'>, 'output_dir': '/lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/experiments/thetagpu/candle/Output/EXP000/RUN000', 'job_id': 29, 'objective': 0.97467357, 'step': 9, 'pruned': False, 'timestamp_submit': 0.2144594193, 'timestamp_gather': 396.6622605324, 'timestamp_start': 0.4919614792, 'timestamp_end': 396.6601896286, 'evaluate_model': True}
WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/keras/layers/normalization/batch_normalization.py:532: _colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/keras/layers/normalization/batch_normalization.py:532: _colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
/lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/keras/optimizer_v2/adagrad.py:74: UserWarning: The `lr` argument is deprecated, use `learning_rate` instead.
  super(Adagrad, self).__init__(name, **kwargs)
WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/tensorflow/python/autograph/converters/directives.py:126: The name tf.keras.backend.get_session is deprecated. Please use tf.compat.v1.keras.backend.get_session instead.

WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/tensorflow/python/autograph/converters/directives.py:126: The name tf.keras.backend.get_session is deprecated. Please use tf.compat.v1.keras.backend.get_session instead.

WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:459: auc (from tensorflow.python.ops.metrics_impl) is deprecated and will be removed in a future version.
Instructions for updating:
The value of AUC returned by this may race with the update so this is deprecated. Please use tf.keras.metrics.AUC instead.
WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:459: auc (from tensorflow.python.ops.metrics_impl) is deprecated and will be removed in a future version.
Instructions for updating:
The value of AUC returned by this may race with the update so this is deprecated. Please use tf.keras.metrics.AUC instead.
WARNING:tensorflow:OMP_NUM_THREADS is no longer used by the default Keras config. To configure the number of threads, use tf.config.threading APIs.
WARNING:tensorflow:OMP_NUM_THREADS is no longer used by the default Keras config. To configure the number of threads, use tf.config.threading APIs.
WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/keras/optimizer_v2/adagrad.py:83: calling Constant.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
WARNING:tensorflow:From /lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/keras/optimizer_v2/adagrad.py:83: calling Constant.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
/lus/grand/projects/datascience/regele/thetagpu/scaling/scalable-bo/build/dhenv/lib/python3.8/site-packages/keras/engine/training_v1.py:2057: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  updates = self.state_updates
DEBUG:attn:[Epoch: 0] acc: 0.854929, loss: 0.340652, tf_auc: 0.834196, val_acc: 0.891730, val_loss: 0.308054, val_tf_auc: 0.912383
DEBUG:attn:[Epoch: 1] acc: 0.911498, loss: 0.216035, tf_auc: 0.928461, val_acc: 0.917238, val_loss: 0.217229, val_tf_auc: 0.939311
DEBUG:attn:[Epoch: 2] acc: 0.919019, loss: 0.188302, tf_auc: 0.945743, val_acc: 0.908176, val_loss: 0.242793, val_tf_auc: 0.950662
DEBUG:attn:[Epoch: 3] acc: 0.924098, loss: 0.169599, tf_auc: 0.954250, val_acc: 0.910824, val_loss: 0.226021, val_tf_auc: 0.957360
DEBUG:attn:[Epoch: 4] acc: 0.928235, loss: 0.156447, tf_auc: 0.959950, val_acc: 0.910530, val_loss: 0.226337, val_tf_auc: 0.962096
DEBUG:attn:[Epoch: 5] acc: 0.932733, loss: 0.145007, tf_auc: 0.963912, val_acc: 0.921122, val_loss: 0.211347, val_tf_auc: 0.965591
DEBUG:attn:[Epoch: 6] acc: 0.936451, loss: 0.135119, tf_auc: 0.967078, val_acc: 0.933567, val_loss: 0.189365, val_tf_auc: 0.968444
DEBUG:attn:[Epoch: 7] acc: 0.939507, loss: 0.130593, tf_auc: 0.969686, val_acc: 0.936803, val_loss: 0.169396, val_tf_auc: 0.970795
DEBUG:attn:[Epoch: 8] acc: 0.942158, loss: 0.123667, tf_auc: 0.971820, val_acc: 0.935450, val_loss: 0.182141, val_tf_auc: 0.972745
DEBUG:attn:[Epoch: 9] acc: 0.945067, loss: 0.118410, tf_auc: 0.973594, val_acc: 0.934714, val_loss: 0.189604, val_tf_auc: 0.974361
DEBUG:attn:[Epoch: 10] acc: 0.946288, loss: 0.113799, tf_auc: 0.975078, val_acc: 0.942629, val_loss: 0.160244, val_tf_auc: 0.975781
DEBUG:attn:[Epoch: 11] acc: 0.949017, loss: 0.108496, tf_auc: 0.976433, val_acc: 0.945541, val_loss: 0.158733, val_tf_auc: 0.977050
DEBUG:attn:[Epoch: 12] acc: 0.951452, loss: 0.104432, tf_auc: 0.977628, val_acc: 0.942805, val_loss: 0.173133, val_tf_auc: 0.978148
DEBUG:attn:[Epoch: 13] acc: 0.953294, loss: 0.101252, tf_auc: 0.978648, val_acc: 0.943158, val_loss: 0.156556, val_tf_auc: 0.979129
DEBUG:attn:[Epoch: 14] acc: 0.954883, loss: 0.096902, tf_auc: 0.979600, val_acc: 0.945482, val_loss: 0.157133, val_tf_auc: 0.980040
DEBUG:attn:[Epoch: 15] acc: 0.956531, loss: 0.094121, tf_auc: 0.980449, val_acc: 0.951808, val_loss: 0.147846, val_tf_auc: 0.980851
DEBUG:attn:[Epoch: 16] acc: 0.957310, loss: 0.093381, tf_auc: 0.981229, val_acc: 0.943070, val_loss: 0.177797, val_tf_auc: 0.981566
DEBUG:attn:[Epoch: 17] acc: 0.959355, loss: 0.088317, tf_auc: 0.981899, val_acc: 0.943835, val_loss: 0.171282, val_tf_auc: 0.982218
DEBUG:attn:[Epoch: 18] acc: 0.959568, loss: 0.087846, tf_auc: 0.982521, val_acc: 0.951602, val_loss: 0.146225, val_tf_auc: 0.982823
DEBUG:attn:[Epoch: 19] acc: 0.962613, loss: 0.081987, tf_auc: 0.983120, val_acc: 0.956692, val_loss: 0.141156, val_tf_auc: 0.983411
DEBUG:attn:[Epoch: 20] acc: 0.962205, loss: 0.082830, tf_auc: 0.983686, val_acc: 0.953308, val_loss: 0.144281, val_tf_auc: 0.983936
DEBUG:attn:[Epoch: 21] acc: 0.964386, loss: 0.078345, tf_auc: 0.984211, val_acc: 0.953603, val_loss: 0.156999, val_tf_auc: 0.984434
DEBUG:attn:[Epoch: 22] acc: 0.964456, loss: 0.077877, tf_auc: 0.984663, val_acc: 0.954897, val_loss: 0.149221, val_tf_auc: 0.984884
DEBUG:attn:[Epoch: 23] acc: 0.966655, loss: 0.074230, tf_auc: 0.985103, val_acc: 0.954632, val_loss: 0.149477, val_tf_auc: 0.985312
DEBUG:attn:[Epoch: 24] acc: 0.966677, loss: 0.073930, tf_auc: 0.985504, val_acc: 0.958045, val_loss: 0.130406, val_tf_auc: 0.985714
DEBUG:attn:[Epoch: 25] acc: 0.967736, loss: 0.072138, tf_auc: 0.985931, val_acc: 0.958398, val_loss: 0.135847, val_tf_auc: 0.986103
DEBUG:attn:[Epoch: 26] acc: 0.968593, loss: 0.070776, tf_auc: 0.986261, val_acc: 0.957427, val_loss: 0.147462, val_tf_auc: 0.986450
DEBUG:attn:[Epoch: 27] acc: 0.969325, loss: 0.068604, tf_auc: 0.986614, val_acc: 0.957192, val_loss: 0.147370, val_tf_auc: 0.986778
DEBUG:attn:[Epoch: 28] acc: 0.970134, loss: 0.067580, tf_auc: 0.986960, val_acc: 0.957604, val_loss: 0.144976, val_tf_auc: 0.987089
DEBUG:attn:[Epoch: 29] acc: 0.969994, loss: 0.067734, tf_auc: 0.987224, val_acc: 0.959605, val_loss: 0.136708, val_tf_auc: 0.987370
DEBUG:attn:[Epoch: 30] acc: 0.971800, loss: 0.063700, tf_auc: 0.987499, val_acc: 0.962341, val_loss: 0.131445, val_tf_auc: 0.987662
